date,alarmoff,notification,time2,application,phoneup
8/26/20 4:04,1,0,0,0,1
8/26/20 4:13,1,0,0,0,1
8/26/20 5:45,0,1,0,0,1
8/26/20 6:11,0,0,1,0,1
8/26/20 6:12,0,0,1,0,1
8/26/20 7:06,0,0,1,14,15
8/26/20 7:45,0,0,0,1,1
8/26/20 7:48,0,0,0,1,1
8/26/20 8:02,0,0,1,0,1
8/26/20 8:30,1,0,0,0,1
8/26/20 9:18,0,0,1,14,15
8/26/20 9:33,0,0.33,0,0.67,1
8/26/20 9:47,0,0,0,30,30
8/26/20 11:00,0,0,1,0,1
8/26/20 13:02,0,0,0,5,5
8/26/20 13:26,0,0,0,45,45
8/26/20 14:26,0,0,1,0,1
8/26/20 15:09,0,0,0,1,1
8/26/20 16:09,0,0,0,1,1
8/26/20 17:49,0,0,0,15,15
8/26/20 21:29,0,0,1,0,1
8/27/20 4:04,1,0,0,0,1
8/27/20 4:14,1,0,0,0,1
8/27/20 4:24,1,0,0,0,1
8/27/20 4:34,1,0,0,0,1
8/27/20 4:44,0.33,0,0,0.67,1
8/27/20 6:39,0,0,0.33,0.67,1
8/27/20 8:42,0,0,1,0,1
8/27/20 9:29,0,0.33,0.67,0,1
8/27/20 12:01,0,0,0,15,15
8/27/20 12:56,0,1,0,0,1
8/27/20 15:08,0,1,0,0,1
8/27/20 18:23,0,0,0,5,5
8/27/20 19:48,0,1,0,0,1
8/28/20 2:30,1,0,0,0,1
8/28/20 2:40,1,0,0,0,1
8/28/20 3:00,0.2,0,0,4.8,5
8/28/20 4:04,1,0,0,0,1
8/28/20 6:48,0,4.8,0.2,0,5
8/28/20 7:12,0,0,0,5,5
8/28/20 14:28,0,1,0,14,15
8/28/20 15:33,0,1,1,28,30
