Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,gennum,Date,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired
Handkerchief Chair,"Massimo Vignelli, Lella Vignelli, David Law","6155, 7442, 7443","(Italian, 1931–2014) (Italian, 1934–2016) (American, born 1937)",Italian-American,Male-Female,2,,Fiberglass-reinforced polyester and metal,"29 x 22 1/8 x 18 1/4"" (73.7 x 56.2 x 46.4 cm)",Gift of the manufacturer,Design,Architecture & Design,1995-01-17
Waterspout 4 Vase,Toots Zynsky,6593,"(American, born 1951)",American,Female,1,,Spun blown glass,"11 1/2 x 9"" (29.2 x 22.9 cm)",Purchase,Design,Architecture & Design,1995-01-17
Side Chair,"Charles Eames, Ray Eames","1671, 1672","(American, 1907–1978) (American, 1912–1988)",American,Male-Female,2,,"Molded polyester reinforced with glass fibers, wire struts, and rubber shock mounts",,Gift of the designers,Design,Architecture & Design,1973-05-08
Stacking Side Chair,"Charles Eames, Ray Eames","1671, 1672","(American, 1907–1978) (American, 1912–1988)",American,Male-Female,2,,"Molded polyester reinforced with glass fibers, zinc-coated steel tube, rubber shock mounts, and nylon glides",,Gift of the manufacturer,Design,Architecture & Design,1973-05-08
Ceiling Lamp,Marianne Brandt,741,"(German, 1893–1983)",German,Female,1,,Spun aluminum and milk glass shade,"41 1/2 x 15"" (105.4 x 38.1 cm)",Phyllis B. Lambert Fund,Design,Architecture & Design,1958-12-04
Ceiling Lamp,"Marianne Brandt, Bauhaus, Dessau","741, 9058","(German, 1893–1983)",German,Female,1,,Glass and chromed metal rods,"10 1/2 × 23 3/4"" (26.7 × 60.3 cm)",Gift of Walter Gropius,Design,Architecture & Design,1958-12-04
Water Pitcher,Nanny Still,5666,"(Finnish, 1926–2009)",Finnish,Female,1,,Glass,"7 1/8 x 7"" (18.1 x 17.8 cm)",Phyllis B. Lambert Fund,Design,Architecture & Design,1958-12-04
Ashtray,Nanny Still,5666,"(Finnish, 1926–2009)",Finnish,Female,1,,Glass,"1 3/4 x 6 1/4"" (4.4 x 15.9 cm)",Phyllis B. Lambert Fund,Design,Architecture & Design,1958-12-04
Container,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Steel and glass,"3 1/16 x 4 3/8"" (7.8 x 11.1 cm)",Phyllis B. Lambert Fund,Design,Architecture & Design,1958-12-04
Platter,Nanny Still,5666,"(Finnish, 1926–2009)",Finnish,Female,1,,Glass,"2 x 11 5/8"" (5.1 x 29.5 cm)",Philip Johnson Fund,Design,Architecture & Design,1962-11-07
Tumbler,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"3 3/8"" (8.6 cm), rim diam. 2 7/8"" (7.3 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1984-10-30
Tumblers and Schnapps Glass,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,".1 (ruby): 3 7/16 x 2 7/8"" (8.7 x 7.3 cm)
.2 (clear): 2 7/8 x 2 3/8"" (7.3 x 6.1 cm)
.3 (turquoise): 1 7/8 x 1 9/16"" (4.7 x 4 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1984-10-30
Tumbler,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"2 7/8"" (7.3 cm), rim diam. 2 3/8"" (6.1 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1984-10-30
Schnapps Glass,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"1 7/8"" (4.7 cm), rim diam. 1 1/2"" (3.8 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1984-10-30
Table with Wheels (model 2652),Gae Aulenti,241,"(Italian, 1930–2012)",Italian,Female,1,,"Glass, metal and rubber","11 1/4 x 27 1/2 x 54 5/8"" (28.6 x 69.9 x 138.7 cm)",Gift of Donn Golden,Design,Architecture & Design,1982-10-27
Rocking Armchair (model RAR),"Charles Eames, Ray Eames","1671, 1672","(American, 1907–1978) (American, 1912–1988)",American,Male-Female,2,,"Fiberglass-reinforced polyester, steel, birch, and rubber shockmounts","26 3/4 x 25 x 27"" (67.9 x 63.5 x 68.6 cm)",Gift of the manufacturer,Design,Architecture & Design,1950-11-15
Grip Tongs,"Ergonomi Design Gruppen (now Veryday), Maria Benktzon, Håkan Bergkvist, Sven-Eric Juhlin","8697, 6935, 496, 2950","(Sweden, est. 1969) (Swedish, born 1946) (Swedish, born 1946) (Swedish, born 1940)",Swedish,Male-Female,2,,"Fiberglass, polycarbonate, ABS plastic, magnet","l. 27 1/2"" (69.8 cm)",Gift of the designers,Design,Architecture & Design,1985-11-18
Dish (model S621),Eleanore Peduzzi-Riva,4538,"(Italian, born 1936)",Italian,Female,1,,Glass,"3 7/8 x 20 5/8"" (9.8 x 52.4 cm)",Gift of the manufacturer,Design,Architecture & Design,1972-12-05
Knitted Lamp,Hella Jongerius,7584,"(Dutch, born 1963)",Dutch,Female,1,,Fiberglass and PMMA plastic,".1: 14 1/2 x 17 x 6"" (36.8 x 43.2 x 15.2 cm)
.2: h. 11 1/2"" (29.2 cm), diam.17"" (43.2 cm)",Frederieke Taylor Purchase Fund,Design,Architecture & Design,1996-09-25
Tumbler,Aino Aalto,35,"(Finnish, 1894–1949)",Finnish,Female,1,,Pressed glass,"3 3/8 x 3"" (8.6 x 7.6 cm)",Greta Daniel Fund,Design,Architecture & Design,1983-05-17
Wall Hanging: Light Bubble,Nancy Guay Giesberger,2385,"(American, born 1945)",American,Female,1,,"Double cloth, gold gimp, saran, and plexiglass","143 x 36"" (363.2 x 91.4 cm)",Gift of the Louis Comfort Tiffany Foundation,Design,Architecture & Design,1983-05-17
Pitcher,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"6 3/4 x 6 9/16"" (17.1 x 16.7 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1983-05-17
Casement Material,Anni Albers,96,"(American, born Germany. 1899–1994)",American,Female,1,,Fiberglass,"16 1/2 x 14 1/2"" (41.9 x 36.8 cm)",Gift of Josef Albers,Design,Architecture & Design,1970-11-05
Stacking Glasses,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,".1-.2 (blue): 3 3/8 x 2 7/8"" (8.6 x 7.3 cm)
.3 (yellow): 2 15/16 x 2 3/8"" (7.5 x 6 cm)
.4 (turquoise): 1 7/8 x 1 9/16"" (4.7 x 4 cm)",Gift of Barbro Kulvik and Antti Siltavuori,Design,Architecture & Design,1983-05-17
Stacking Glass,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"3 7/16 x 2 7/8"" (8.7 x 7.3 cm)",Gift of the designer,Design,Architecture & Design,1983-05-17
Ice Bucket,"Mort N. Marton, Beryl Marton","3806, 8209","(American, born 1918) (American)",American,Male-Female,2,,Cork with milk glass liner,"7 5/8 x 8 1/2 x 8 1/2"" (19.4 x 21.6 x 21.6 cm)",Gift of David Whitney,Design,Architecture & Design,1963-11-12
Marja Cocktail Glass,Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Blown glass,"each: 1 7/8 x 2 1/4"" (4.8 x 5.7 cm)",Mr. and Mrs. Hochschild Purchase Fund,Design,Architecture & Design,1995-09-20
Adjustable Table,Eileen Gray,2313,"(Anglo-Irish, 1879–1976)",British,Female,1,,"Chrome-plated tubular steel, sheet steel, and glass","Dimensions range from a minimum height of 21 1/4"" (54 cm) to max height of 36 1/2"" (93 cm), diam. 20"" (50.8 cm)","Philip Johnson Fund and Aram Designs Ltd., London",Design,Architecture & Design,1977-11-28
Candle Holder,Nanny Still,5666,"(Finnish, 1926–2009)",Finnish,Female,1,,Glass and wood,"Overall: 2 3/4 x 4"" (7 x 10.2 cm)
.a: 2 3/8 x 4"" (6 x 10.2 cm)
.b: 1 3/8 x 4"" (3.5 x 10.2 cm)",Purchase,Design,Architecture & Design,1966-12-06
Bowl (model 5577),Saara Hopea,2724,"(Finnish, 1925–1984)",Finnish,Female,1,,Molded glass,"4 x 7"" (10.2 x 17.8 cm)",Purchase,Design,Architecture & Design,1983-11-30
"Museum of Sex, New York, New York, Scale model 1/8""=1'-0""","SHoP Architects PC, Christopher R. Sharples, Kimberly J. Holden, Gregg A. Pasquarelli, William Sharples, Coren Sharples","22556, 22598, 22594, 22595, 22945, 31617","(American, est. 1996) (American, born 1963) (American, born 1966) (American, born 1965) (American, born 1963) (American, born 1965)",American,Male-Female,2,,"Resin, Plexiglass, wood, and acrylic","25 x 29 x 17 3/4"" (63.5 x 73.7 x 45.1 cm)
6 7/8"" (17.5 cm)",Gift of the architects and David Childs Purchase Fund,Architecture,Architecture & Design,2001-05-11
